6109,61,KABUPATEN SEKADAU,0.015637,110.888603
6171,61,KOTA PONTIANAK,-0.022523,109.330307
6203,62,KABUPATEN KAPUAS,-0.0459972,110.1313251
6107,61,KABUPATEN SINTANG,0.080238,111.495499
6105,61,KABUPATEN SANGGAU,0.119275,110.597298
1309,13,KABUPATEN PASAMAN,0.1288752,99.7901781
6474,64,KOTA BONTANG,0.1333333,117.5
6403,64,KABUPATEN KUTAI KARTANEGARA,-0.1336655,116.6081653
6402,64,KABUPATEN KUTAI BARAT,0.1353881,115.094045
6213,62,KABUPATEN MURUNG RAYA,-0.1362171,114.3341432
1403,14,KABUPATEN INDRAGIRI HILIR,-0.1456733,102.989615
1406,14,KABUPATEN KAMPAR,0.146671,101.1617356
2104,21,KABUPATEN LINGGA,-0.1627686,104.6354631
1307,13,KABUPATEN AGAM,-0.2209392,100.1703257
1312,13,KABUPATEN PASAMAN BARAT,0.2213005,99.634135
1376,13,KOTA PAYAKUMBUH,-0.22887,100.632301
1375,13,KOTA BUKITTINGGI,-0.3055556,100.3691667
6112,61,KABUPATEN KUBU RAYA,-0.3533938,109.4735066
7205,72,KABUPATEN DONGGALA,-0.4233155,119.8352303
6103,61,KABUPATEN LANDAK,0.4237287,109.7591675
1401,14,KABUPATEN KUANTAN SINGINGI,-0.4411596,101.5248055
1404,14,KABUPATEN PELALAWAN,0.441415,102.088699
1374,13,KOTA PADANG PANJANG,-0.470679,100.4059456
1305,13,KABUPATEN TANAH DATAR,-0.4797043,100.5746224
6472,64,KOTA SAMARINDA,-0.502183,117.153801
1471,14,KOTA PEKANBARU,0.5333333,101.45
7502,75,KABUPATEN GORONTALO,0.5333333,123.0666667
7571,75,KOTA GORONTALO,0.5333333,123.0666667
1306,13,KABUPATEN PADANG PARIAMAN,-0.5546757,100.2151578
7504,75,KABUPATEN BONE BOLANGO,0.5657885,123.3486147
7208,72,KABUPATEN PARIGI MOUTONG,0.5817607,120.8039474
3211,32,KABUPATEN SUMEDANG,0.6095949,110.0330554
1377,13,KOTA PARIAMAN,-0.6264389,100.1179574
1373,13,KOTA SAWAH LUNTO,-0.6810286,100.7763604
8272,82,KOTA TIDORE KEPULAUAN,0.6833333,127.4
7101,71,KABUPATEN BOLAANG MONGONDOW,0.6870994,124.0641419
1304,13,KABUPATEN SIJUNJUNG,-0.6881586,100.997658
6110,61,KABUPATEN MELAWI,-0.7000681,111.6660725
